student_id,first_name,last_name,gender,dob,age,grade,section,roll_no,email,phone,address,city,state,country,gpa,enrollment_date
S000012,Raihan,Khanam,Male,2017-02-15,8,2,B,12,raihan.khanam12@school.edu,01267736026,"House 147, Road 109, Dhaka",Dhaka,Barishal Division,Bangladesh,2.8,2023-10-17
S000013,Moumita,Talukder,Male,2011-08-28,14,1,A,13,moumita.talukder13@school.edu,01500978820,"House 346, Road 61, Chattogram",Chattogram,Mymensingh Division,Bangladesh,2.56,2021-09-03
S000014,Khan,Chowdhury,Female,2017-10-11,8,10,A,14,khan.chowdhury14@school.edu,01916998543,"House 154, Road 118, Rangpur",Rangpur,Chattogram Division,Bangladesh,2.8,2016-06-20
S000015,Jannatul,Islam,Male,2017-08-18,8,2,B,15,jannatul.islam15@school.edu,01842513542,"House 414, Road 168, Comilla",Comilla,Mymensingh Division,Bangladesh,3.63,2018-05-24
S000016,Rifat,Hossain,Female,2017-06-10,8,11,A,16,rifat.hossain16@school.edu,01241182449,"House 437, Road 68, Barishal",Barishal,Rangpur Division,Bangladesh,3.03,2022-09-16
S000017,Rifat,Talukder,Male,2006-02-21,19,11,D,17,rifat.talukder17@school.edu,01400524278,"House 280, Road 10, Mymensingh",Mymensingh,Sylhet Division,Bangladesh,2.03,2015-11-05
S000018,Sadia,Banu,Female,2014-08-22,11,1,C,18,sadia.banu18@school.edu,01505331586,"House 452, Road 106, Khulna",Khulna,Chattogram Division,Bangladesh,4.59,2023-12-21
S000019,Arif,Rahman,Female,2012-06-14,13,11,B,19,arif.rahman19@school.edu,01421607337,"House 115, Road 7, Rangpur",Rangpur,Khulna Division,Bangladesh,4.46,2024-10-08
S000020,Sakib,Kabir,Male,2006-07-23,19,6,D,20,sakib.kabir20@school.edu,01850142940,"House 224, Road 156, Chattogram",Chattogram,Sylhet Division,Bangladesh,3.3,2023-03-04
S000021,Rifat,Chowdhury,Male,2017-12-07,7,5,A,21,rifat.chowdhury21@school.edu,01608835615,"House 260, Road 80, Rangpur",Rangpur,Rangpur Division,Bangladesh,4.54,2023-01-27
S000022,Mizan,Sheikh,Male,2011-08-20,14,3,B,22,mizan.sheikh22@school.edu,01662994680,"House 311, Road 168, Sylhet",Sylhet,Khulna Division,Bangladesh,2.63,2023-10-24
S000023,Jannatul,Mia,Male,2009-10-17,16,8,B,23,jannatul.mia23@school.edu,01148951343,"House 313, Road 197, Barishal",Barishal,Chattogram Division,Bangladesh,2.07,2017-09-29
S000024,Tasnima,Mia,Male,2017-11-29,7,12,D,24,tasnima.mia24@school.edu,01763201632,"House 234, Road 35, Comilla",Comilla,Dhaka Division,Bangladesh,3.67,2024-07-06
S000025,Raihan,Majumder,Other,2012-02-13,13,10,D,25,raihan.majumder25@school.edu,01872774348,"House 366, Road 74, Comilla",Comilla,Rangpur Division,Bangladesh,2.72,2019-12-07
S000026,Rana,Biswas,Male,2017-02-11,8,3,B,26,rana.biswas26@school.edu,01362316658,"House 200, Road 198, Comilla",Comilla,Barishal Division,Bangladesh,2.19,2024-05-04
S000027,Bappy,Hossain,Female,2017-11-30,7,8,A,27,bappy.hossain27@school.edu,01546688937,"House 173, Road 172, Barishal",Barishal,Khulna Division,Bangladesh,3.31,2015-04-29
S000028,Khan,Rahman,Female,2007-11-12,18,9,A,28,khan.rahman28@school.edu,01699016272,"House 168, Road 87, Dhaka",Dhaka,Khulna Division,Bangladesh,3.14,2017-05-16
S000029,Khan,Biswas,Female,2014-06-16,11,2,D,29,khan.biswas29@school.edu,01080531003,"House 65, Road 122, Barishal",Barishal,Mymensingh Division,Bangladesh,2.06,2016-09-16
S000030,Fatima,Banu,Female,2015-06-07,10,6,B,30,fatima.banu30@school.edu,01991241904,"House 304, Road 177, Mymensingh",Mymensingh,Barishal Division,Bangladesh,4.82,2017-03-23
S000031,Rana,Chowdhury,Female,2011-10-07,14,2,A,31,rana.chowdhury31@school.edu,01586518506,"House 457, Road 118, Comilla",Comilla,Dhaka Division,Bangladesh,3.3,2019-01-23
S000032,Rashed,Siddique,Male,2016-09-14,9,5,D,32,rashed.siddique32@school.edu,01769453147,"House 173, Road 8, Barishal",Barishal,Mymensingh Division,Bangladesh,3.39,2021-11-04
S000033,Sohana,Sheikh,Male,2009-10-04,16,5,C,33,sohana.sheikh33@school.edu,01494808313,"House 331, Road 183, Mymensingh",Mymensingh,Barishal Division,Bangladesh,3.67,2017-09-11
S000034,Sohana,Mia,Female,2007-02-02,18,4,D,34,sohana.mia34@school.edu,01349578856,"House 129, Road 60, Rangpur",Rangpur,Khulna Division,Bangladesh,4.11,2018-01-14
S000035,Fatima,Sarkar,Male,2017-01-07,8,4,B,35,fatima.sarkar35@school.edu,01749894134,"House 65, Road 71, Barishal",Barishal,Khulna Division,Bangladesh,2.54,2015-02-27
S000036,Rafi,Ahmed,Female,2007-11-01,18,8,A,36,rafi.ahmed36@school.edu,01094777520,"House 206, Road 126, Sylhet",Sylhet,Mymensingh Division,Bangladesh,3.43,2024-03-21
S000037,Tasnima,Banu,Female,2006-03-16,19,3,C,37,tasnima.banu37@school.edu,01131869993,"House 220, Road 79, Mymensingh",Mymensingh,Barishal Division,Bangladesh,4.73,2018-05-02
S000038,Bappy,Haque,Male,2007-03-24,18,11,B,38,bappy.haque38@school.edu,01412328120,"House 17, Road 60, Mymensingh",Mymensingh,Barishal Division,Bangladesh,4.07,2020-04-08
S000039,Imran,Akter,Female,2015-03-09,10,11,B,39,imran.akter39@school.edu,01493618324,"House 305, Road 192, Khulna",Khulna,Dhaka Division,Bangladesh,2.18,2023-11-21
S000040,Bappy,Akter,Male,2015-07-07,10,12,D,40,bappy.akter40@school.edu,01488771906,"House 493, Road 173, Rangpur",Rangpur,Sylhet Division,Bangladesh,2.75,2016-01-10
S000041,Bappy,Banu,Female,2011-01-17,14,1,B,41,bappy.banu41@school.edu,01787429671,"House 440, Road 42, Comilla",Comilla,Khulna Division,Bangladesh,3.23,2018-08-08
S000042,Jannatul,Siddique,Female,2011-06-20,14,9,A,42,jannatul.siddique42@school.edu,01715451680,"House 319, Road 194, Comilla",Comilla,Barishal Division,Bangladesh,2.16,2020-10-24
S000043,Sohana,Mia,Female,2009-07-26,16,9,B,43,sohana.mia43@school.edu,01477109324,"House 237, Road 31, Dhaka",Dhaka,Sylhet Division,Bangladesh,3.22,2017-07-09
S000044,Rashed,Talukder,Female,2011-07-19,14,12,C,44,rashed.talukder44@school.edu,01677378263,"House 175, Road 130, Khulna",Khulna,Mymensingh Division,Bangladesh,2.21,2023-08-31
S000045,Nabila,Hossain,Male,2011-09-12,14,10,D,45,nabila.hossain45@school.edu,01278755886,"House 293, Road 99, Comilla",Comilla,Khulna Division,Bangladesh,4.61,2022-10-27
S000046,Rana,Siddique,Male,2015-08-11,10,7,B,46,rana.siddique46@school.edu,01702895171,"House 497, Road 40, Comilla",Comilla,Dhaka Division,Bangladesh,4.17,2019-08-07
S000047,Tasnima,Talukder,Female,2010-12-12,14,10,D,47,tasnima.talukder47@school.edu,01158657809,"House 383, Road 24, Chattogram",Chattogram,Chattogram Division,Bangladesh,3.89,2018-03-23
S000048,Mizan,Chowdhury,Female,2007-04-04,18,3,C,48,mizan.chowdhury48@school.edu,01005045562,"House 88, Road 45, Barishal",Barishal,Sylhet Division,Bangladesh,3.24,2022-08-24
S000049,Tasnima,Haque,Female,2010-05-27,15,10,B,49,tasnima.haque49@school.edu,01374740748,"House 154, Road 164, Khulna",Khulna,Dhaka Division,Bangladesh,3.33,2018-11-16
S000050,Mizan,Biswas,Male,2011-10-11,14,7,D,50,mizan.biswas50@school.edu,01136959440,"House 467, Road 156, Mymensingh",Mymensingh,Khulna Division,Bangladesh,2.02,2024-09-13
S000051,Sohana,Akter,Female,2010-03-01,15,6,B,1,sohana.akter51@school.edu,01394210470,"House 383, Road 107, Rangpur",Rangpur,Rangpur Division,Bangladesh,2.39,2018-04-23
S000052,Nusrat,Sarkar,Male,2017-02-05,8,9,C,2,nusrat.sarkar52@school.edu,01247451712,"House 496, Road 143, Barishal",Barishal,Mymensingh Division,Bangladesh,4.03,2022-07-25
S000053,Sadia,Islam,Female,2005-04-25,20,9,A,3,sadia.islam53@school.edu,01754965137,"House 469, Road 157, Dhaka",Dhaka,Sylhet Division,Bangladesh,4.65,2021-04-18
S000054,Rana,Islam,Female,2015-06-01,10,11,D,4,rana.islam54@school.edu,01120047113,"House 215, Road 151, Khulna",Khulna,Barishal Division,Bangladesh,3.36,2022-07-09
S000055,Rashed,Siddique,Female,2015-12-23,9,7,C,5,rashed.siddique55@school.edu,01053773515,"House 486, Road 117, Rangpur",Rangpur,Dhaka Division,Bangladesh,3.19,2017-02-16
S000056,Tasnima,Sarkar,Female,2005-06-24,20,6,B,6,tasnima.sarkar56@school.edu,01293183933,"House 142, Road 38, Rangpur",Rangpur,Mymensingh Division,Bangladesh,2.44,2021-09-07
S000057,Rashed,Khanam,Male,2008-11-30,16,11,A,7,rashed.khanam57@school.edu,01205395024,"House 382, Road 17, Dhaka",Dhaka,Chattogram Division,Bangladesh,4.23,2020-11-24
S000058,Sohana,Mia,Female,2016-07-06,9,2,D,8,sohana.mia58@school.edu,01839084700,"House 252, Road 183, Comilla",Comilla,Mymensingh Division,Bangladesh,3.2,2022-09-11
S000059,Raihan,Islam,Female,2012-03-23,13,3,A,9,raihan.islam59@school.edu,01249985698,"House 407, Road 180, Sylhet",Sylhet,Barishal Division,Bangladesh,3.52,2019-10-29
S000060,Fatima,Khanam,Female,2009-10-28,16,8,B,10,fatima.khanam60@school.edu,01657661565,"House 35, Road 24, Sylhet",Sylhet,Khulna Division,Bangladesh,4.86,2022-09-14
S000061,Tasnima,Islam,Male,2013-05-11,12,9,A,11,tasnima.islam61@school.edu,01988516560,"House 260, Road 55, Sylhet",Sylhet,Sylhet Division,Bangladesh,2.94,2016-02-29
S000062,Rashed,Talukder,Male,2007-06-06,18,9,C,12,rashed.talukder62@school.edu,01149368998,"House 15, Road 47, Dhaka",Dhaka,Sylhet Division,Bangladesh,4.79,2024-04-20
S000063,Nabila,Akter,Female,2012-11-15,12,3,B,13,nabila.akter63@school.edu,01961201836,"House 370, Road 84, Mymensingh",Mymensingh,Barishal Division,Bangladesh,3.02,2019-02-24
S000064,Bappy,Haque,Male,2006-03-07,19,3,A,14,bappy.haque64@school.edu,01147679764,"House 57, Road 73, Barishal",Barishal,Mymensingh Division,Bangladesh,3.54,2018-11-14
S000065,Bappy,Talukder,Female,2011-12-02,13,4,D,15,bappy.talukder65@school.edu,01900343244,"House 90, Road 34, Rangpur",Rangpur,Dhaka Division,Bangladesh,2.02,2023-05-18
S000066,Khan,Khanam,Female,2016-03-22,9,11,C,16,khan.khanam66@school.edu,01160607159,"House 149, Road 30, Mymensingh",Mymensingh,Sylhet Division,Bangladesh,3.21,2022-03-07
S000067,Khan,Hossain,Other,2008-11-08,17,8,C,17,khan.hossain67@school.edu,01161369681,"House 171, Road 200, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,2.93,2018-10-22
S000068,Nusrat,Islam,Female,2007-07-24,18,9,B,18,nusrat.islam68@school.edu,01552312432,"House 488, Road 198, Khulna",Khulna,Mymensingh Division,Bangladesh,4.28,2015-11-05
S000069,Sohana,Mia,Female,2017-12-31,7,11,C,19,sohana.mia69@school.edu,01527177449,"House 232, Road 10, Dhaka",Dhaka,Khulna Division,Bangladesh,3.52,2018-06-25
S000070,Rafi,Hasan,Female,2006-09-21,19,2,D,20,rafi.hasan70@school.edu,01798079359,"House 53, Road 88, Comilla",Comilla,Sylhet Division,Bangladesh,2.45,2015-09-11
S000071,Tasnima,Majumder,Female,2005-11-17,19,12,D,21,tasnima.majumder71@school.edu,01788925546,"House 405, Road 162, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,3.02,2021-09-14
S000072,Jannatul,Islam,Male,2017-07-07,8,5,C,22,jannatul.islam72@school.edu,01925192546,"House 287, Road 97, Khulna",Khulna,Sylhet Division,Bangladesh,4.13,2015-12-14
S000073,Jannatul,Khan,Female,2016-10-22,9,11,D,23,jannatul.khan73@school.edu,01850542357,"House 152, Road 26, Barishal",Barishal,Chattogram Division,Bangladesh,5.0,2016-09-26
S000074,Rifat,Khanam,Female,2016-10-23,9,11,C,24,rifat.khanam74@school.edu,01929622292,"House 497, Road 114, Comilla",Comilla,Dhaka Division,Bangladesh,3.23,2022-08-02
S000075,Tuhin,Akter,Female,2015-01-26,10,9,B,25,tuhin.akter75@school.edu,01473597746,"House 71, Road 65, Mymensingh",Mymensingh,Chattogram Division,Bangladesh,4.45,2023-12-26
S000076,Rafi,Talukder,Female,2017-06-09,8,12,A,26,rafi.talukder76@school.edu,01412478261,"House 213, Road 14, Barishal",Barishal,Mymensingh Division,Bangladesh,3.35,2018-12-02
S000077,Khan,Majumder,Male,2013-08-30,12,6,B,27,khan.majumder77@school.edu,01051522047,"House 3, Road 21, Khulna",Khulna,Mymensingh Division,Bangladesh,4.12,2020-01-12
S000078,Arif,Biswas,Male,2008-05-09,17,12,D,28,arif.biswas78@school.edu,01143410369,"House 275, Road 5, Comilla",Comilla,Dhaka Division,Bangladesh,2.33,2020-08-09
S000079,Rifat,Banu,Male,2008-03-22,17,7,A,29,rifat.banu79@school.edu,01953962185,"House 284, Road 6, Chattogram",Chattogram,Sylhet Division,Bangladesh,3.63,2023-10-27
S000080,Khan,Talukder,Male,2013-09-05,12,5,A,30,khan.talukder80@school.edu,01515319520,"House 426, Road 200, Rangpur",Rangpur,Sylhet Division,Bangladesh,3.02,2022-03-17
S000081,Raihan,Talukder,Female,2008-01-10,17,12,D,31,raihan.talukder81@school.edu,01043030548,"House 386, Road 166, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,3.63,2017-11-03
S000082,Sakib,Akter,Male,2006-01-27,19,6,C,32,sakib.akter82@school.edu,01156676527,"House 411, Road 22, Comilla",Comilla,Khulna Division,Bangladesh,4.77,2020-10-27
S000083,Mizan,Islam,Male,2009-01-18,16,5,C,33,mizan.islam83@school.edu,01115447962,"House 315, Road 112, Comilla",Comilla,Khulna Division,Bangladesh,3.34,2023-02-25
S000084,Nabila,Ahmed,Male,2014-02-10,11,9,B,34,nabila.ahmed84@school.edu,01029702135,"House 79, Road 174, Rangpur",Rangpur,Barishal Division,Bangladesh,4.85,2015-05-13
S000085,Raihan,Hasan,Male,2006-09-22,19,3,C,35,raihan.hasan85@school.edu,01654310278,"House 361, Road 115, Mymensingh",Mymensingh,Sylhet Division,Bangladesh,2.35,2023-09-10
S000086,Sakib,Haque,Male,2016-01-07,9,2,B,36,sakib.haque86@school.edu,01172715518,"House 90, Road 93, Sylhet",Sylhet,Khulna Division,Bangladesh,4.55,2022-12-25
S000087,Rifat,Mollah,Male,2009-07-05,16,4,D,37,rifat.mollah87@school.edu,01058957829,"House 270, Road 106, Chattogram",Chattogram,Dhaka Division,Bangladesh,2.93,2023-01-15
S000088,Mizan,Banu,Male,2012-02-11,13,2,D,38,mizan.banu88@school.edu,01785289226,"House 85, Road 42, Dhaka",Dhaka,Mymensingh Division,Bangladesh,2.37,2016-09-18
S000089,Jannatul,Mollah,Male,2016-08-21,9,2,C,39,jannatul.mollah89@school.edu,01384249818,"House 338, Road 160, Khulna",Khulna,Sylhet Division,Bangladesh,4.82,2016-09-23
S000090,Tuhin,Sheikh,Female,2017-08-23,8,1,A,40,tuhin.sheikh90@school.edu,01094396907,"House 413, Road 176, Sylhet",Sylhet,Rangpur Division,Bangladesh,4.87,2020-06-01
S000091,Khan,Akter,Male,2006-05-06,19,8,D,41,khan.akter91@school.edu,01773592555,"House 55, Road 82, Mymensingh",Mymensingh,Chattogram Division,Bangladesh,4.28,2020-10-10
S000092,Rana,Mia,Male,2015-02-01,10,3,A,42,rana.mia92@school.edu,01046963259,"House 240, Road 128, Rangpur",Rangpur,Chattogram Division,Bangladesh,4.29,2020-08-02
S000093,Imran,Talukder,Male,2013-10-27,12,8,B,43,imran.talukder93@school.edu,01395004797,"House 69, Road 68, Sylhet",Sylhet,Sylhet Division,Bangladesh,2.02,2016-03-16
S000094,Sadia,Kabir,Male,2013-12-26,11,10,B,44,sadia.kabir94@school.edu,01584168784,"House 407, Road 87, Chattogram",Chattogram,Chattogram Division,Bangladesh,4.93,2019-06-02
S000095,Moumita,Hasan,Female,2009-06-19,16,9,D,45,moumita.hasan95@school.edu,01800025787,"House 477, Road 157, Khulna",Khulna,Sylhet Division,Bangladesh,4.68,2016-07-26
S000096,Jannatul,Rahman,Male,2011-09-18,14,6,D,46,jannatul.rahman96@school.edu,01947055169,"House 14, Road 153, Sylhet",Sylhet,Mymensingh Division,Bangladesh,4.7,2024-10-12
S000097,Sohana,Biswas,Other,2017-12-22,7,4,A,47,sohana.biswas97@school.edu,01972896230,"House 78, Road 106, Chattogram",Chattogram,Chattogram Division,Bangladesh,2.06,2018-07-08
S000098,Sakib,Siddique,Female,2015-07-31,10,12,B,48,sakib.siddique98@school.edu,01838578652,"House 412, Road 178, Comilla",Comilla,Sylhet Division,Bangladesh,3.03,2018-12-22
S000099,Nabila,Haque,Female,2010-07-13,15,9,C,49,nabila.haque99@school.edu,01344375758,"House 195, Road 102, Sylhet",Sylhet,Khulna Division,Bangladesh,2.37,2022-08-03
S000100,Sadia,Khan,Male,2011-06-15,14,6,D,50,sadia.khan100@school.edu,01473384842,"House 26, Road 172, Chattogram",Chattogram,Sylhet Division,Bangladesh,4.22,2017-09-07
S000101,Rifat,Mollah,Female,2006-03-07,19,7,C,1,rifat.mollah101@school.edu,01712082677,"House 331, Road 16, Barishal",Barishal,Mymensingh Division,Bangladesh,4.89,2018-08-08
S000102,Tasnima,Banu,Male,2005-11-02,20,7,B,2,tasnima.banu102@school.edu,01067240049,"House 269, Road 127, Chattogram",Chattogram,Khulna Division,Bangladesh,2.85,2022-03-11
S000103,Rashed,Majumder,Male,2009-04-29,16,6,B,3,rashed.majumder103@school.edu,01742054932,"House 206, Road 172, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,3.28,2018-09-05
S000104,Fatima,Rahman,Other,2015-09-17,10,4,A,4,fatima.rahman104@school.edu,01463745499,"House 32, Road 171, Dhaka",Dhaka,Khulna Division,Bangladesh,3.96,2022-10-08
S000105,Fatima,Mia,Male,2014-02-04,11,12,C,5,fatima.mia105@school.edu,01145933272,"House 360, Road 141, Comilla",Comilla,Rangpur Division,Bangladesh,4.97,2019-03-11
S000106,Sohana,Khanam,Female,2009-11-25,15,11,A,6,sohana.khanam106@school.edu,01878519108,"House 438, Road 134, Barishal",Barishal,Sylhet Division,Bangladesh,3.61,2016-11-04
S000107,Raihan,Chowdhury,Female,2015-12-19,9,9,D,7,raihan.chowdhury107@school.edu,01072867908,"House 203, Road 66, Comilla",Comilla,Rangpur Division,Bangladesh,4.42,2023-02-10
S000108,Arif,Sarkar,Female,2006-01-07,19,6,A,8,arif.sarkar108@school.edu,01801704622,"House 446, Road 97, Mymensingh",Mymensingh,Khulna Division,Bangladesh,4.98,2019-04-16
S000109,Khan,Islam,Female,2017-02-04,8,11,C,9,khan.islam109@school.edu,01128682300,"House 273, Road 98, Sylhet",Sylhet,Barishal Division,Bangladesh,4.02,2021-02-08
S000110,Rana,Mollah,Male,2008-06-24,17,4,A,10,rana.mollah110@school.edu,01069033119,"House 126, Road 190, Dhaka",Dhaka,Barishal Division,Bangladesh,3.79,2022-11-20
S000111,Rafi,Kabir,Male,2017-02-08,8,1,B,11,rafi.kabir111@school.edu,01843959953,"House 212, Road 77, Sylhet",Sylhet,Chattogram Division,Bangladesh,4.96,2020-11-05
S000112,Nabila,Ahmed,Female,2008-12-05,16,11,D,12,nabila.ahmed112@school.edu,01870568566,"House 243, Road 62, Khulna",Khulna,Khulna Division,Bangladesh,3.13,2023-06-18
S000113,Rana,Akter,Female,2008-03-28,17,1,D,13,rana.akter113@school.edu,01688263435,"House 371, Road 49, Chattogram",Chattogram,Barishal Division,Bangladesh,4.54,2016-01-14
S000114,Rafi,Biswas,Male,2005-11-20,19,4,B,14,rafi.biswas114@school.edu,01735403317,"House 469, Road 62, Barishal",Barishal,Rangpur Division,Bangladesh,3.81,2017-04-17
S000115,Moumita,Sheikh,Female,2013-07-16,12,9,C,15,moumita.sheikh115@school.edu,01445877175,"House 443, Road 57, Barishal",Barishal,Khulna Division,Bangladesh,2.94,2015-07-07
S000116,Rashed,Hossain,Male,2017-12-28,7,5,B,16,rashed.hossain116@school.edu,01353693785,"House 379, Road 126, Sylhet",Sylhet,Mymensingh Division,Bangladesh,4.46,2023-02-11
S000117,Raihan,Rahman,Female,2012-11-25,12,3,D,17,raihan.rahman117@school.edu,01280801006,"House 5, Road 56, Khulna",Khulna,Mymensingh Division,Bangladesh,3.89,2015-10-06
S000118,Rifat,Mia,Male,2015-11-03,10,1,A,18,rifat.mia118@school.edu,01886008484,"House 413, Road 46, Dhaka",Dhaka,Sylhet Division,Bangladesh,4.44,2022-07-23
S000119,Fatima,Chowdhury,Female,2010-05-29,15,10,C,19,fatima.chowdhury119@school.edu,01546156793,"House 335, Road 167, Barishal",Barishal,Khulna Division,Bangladesh,4.05,2024-07-04
S000120,Rafi,Islam,Male,2013-06-17,12,8,A,20,rafi.islam120@school.edu,01021765918,"House 244, Road 70, Dhaka",Dhaka,Chattogram Division,Bangladesh,2.63,2024-09-25
S000121,Rafi,Islam,Female,2011-04-16,14,10,A,21,rafi.islam121@school.edu,01250392614,"House 347, Road 139, Khulna",Khulna,Sylhet Division,Bangladesh,2.72,2024-05-11
S000122,Jannatul,Kabir,Female,2008-02-21,17,9,C,22,jannatul.kabir122@school.edu,01016315999,"House 402, Road 116, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,2.98,2022-02-10
S000123,Sohana,Mollah,Male,2013-06-03,12,3,D,23,sohana.mollah123@school.edu,01194311426,"House 47, Road 2, Khulna",Khulna,Rangpur Division,Bangladesh,3.17,2019-01-17
S000124,Imran,Mia,Male,2011-01-19,14,3,A,24,imran.mia124@school.edu,01267888610,"House 402, Road 84, Chattogram",Chattogram,Khulna Division,Bangladesh,3.66,2021-09-11
S000125,Khan,Hossain,Male,2013-09-12,12,12,B,25,khan.hossain125@school.edu,01982622444,"House 216, Road 77, Comilla",Comilla,Chattogram Division,Bangladesh,2.19,2019-11-16
S000126,Sohana,Islam,Male,2010-07-14,15,8,B,26,sohana.islam126@school.edu,01712406596,"House 499, Road 153, Rangpur",Rangpur,Barishal Division,Bangladesh,3.0,2024-02-23
S000127,Rashed,Akter,Male,2009-07-04,16,6,B,27,rashed.akter127@school.edu,01654793564,"House 304, Road 140, Mymensingh",Mymensingh,Khulna Division,Bangladesh,2.34,2021-04-28
S000128,Nusrat,Khanam,Male,2015-05-10,10,8,C,28,nusrat.khanam128@school.edu,01167243426,"House 299, Road 103, Mymensingh",Mymensingh,Dhaka Division,Bangladesh,3.35,2021-09-15
S000129,Moumita,Majumder,Female,2014-05-20,11,1,C,29,moumita.majumder129@school.edu,01891135290,"House 55, Road 3, Mymensingh",Mymensingh,Mymensingh Division,Bangladesh,2.99,2023-12-06
S000130,Fatima,Biswas,Male,2016-08-20,9,10,B,30,fatima.biswas130@school.edu,01756798250,"House 426, Road 187, Comilla",Comilla,Dhaka Division,Bangladesh,2.89,2015-12-18
S000131,Rashed,Hasan,Male,2015-03-20,10,9,D,31,rashed.hasan131@school.edu,01571775140,"House 347, Road 43, Chattogram",Chattogram,Dhaka Division,Bangladesh,4.55,2022-04-08
S000132,Rana,Majumder,Male,2008-08-04,17,9,D,32,rana.majumder132@school.edu,01736226609,"House 361, Road 55, Barishal",Barishal,Barishal Division,Bangladesh,3.78,2019-05-12
S000133,Sakib,Biswas,Female,2006-05-28,19,2,B,33,sakib.biswas133@school.edu,01553714785,"House 181, Road 118, Mymensingh",Mymensingh,Sylhet Division,Bangladesh,3.18,2016-04-12
S000134,Tuhin,Rahman,Female,2011-09-03,14,10,A,34,tuhin.rahman134@school.edu,01251341252,"House 217, Road 48, Mymensingh",Mymensingh,Barishal Division,Bangladesh,3.79,2021-06-12
S000135,Sohana,Khanam,Female,2008-11-20,16,3,D,35,sohana.khanam135@school.edu,01422579050,"House 259, Road 168, Comilla",Comilla,Chattogram Division,Bangladesh,2.59,2019-04-22
S000136,Sohana,Siddique,Female,2014-04-28,11,8,B,36,sohana.siddique136@school.edu,01190340438,"House 282, Road 131, Sylhet",Sylhet,Chattogram Division,Bangladesh,4.34,2021-05-05
S000137,Fatima,Banu,Male,2017-03-08,8,9,A,37,fatima.banu137@school.edu,01783613407,"House 444, Road 31, Sylhet",Sylhet,Khulna Division,Bangladesh,4.59,2015-12-23
S000138,Rana,Sarkar,Female,2012-11-12,13,11,D,38,rana.sarkar138@school.edu,01292330958,"House 149, Road 147, Sylhet",Sylhet,Sylhet Division,Bangladesh,3.62,2018-08-18
S000139,Nabila,Majumder,Other,2007-02-20,18,7,A,39,nabila.majumder139@school.edu,01422325367,"House 193, Road 116, Khulna",Khulna,Sylhet Division,Bangladesh,3.9,2022-01-15
S000140,Tasnima,Islam,Male,2011-03-30,14,8,D,40,tasnima.islam140@school.edu,01590175186,"House 166, Road 73, Barishal",Barishal,Barishal Division,Bangladesh,4.47,2020-07-19
S000141,Jannatul,Khanam,Female,2017-09-12,8,6,A,41,jannatul.khanam141@school.edu,01017012770,"House 155, Road 41, Mymensingh",Mymensingh,Chattogram Division,Bangladesh,4.99,2016-06-24
